event_occurrence_id,event_template_id,event_name,event_date_time_start,event_date_time_end,event_location,event_capacity,event_registration_deadline
19,6,Data Science Study Group,3/1/23 10:00,3/1/23 12:00,Community Center Room A,100,2/22/23 10:00
20,1,Mentor Office Hours,7/2/23 10:00,7/2/23 12:00,Virtual Zoom,100,6/25/23 10:00
21,3,Girls in STEAM Mentoring,9/5/23 10:00,9/5/23 12:00,Virtual Zoom,100,8/29/23 10:00
22,7,Leadership Circle Meetup,5/15/23 10:00,5/15/23 12:00,Community Center Room A,100,5/8/23 10:00
23,3,Girls in STEAM Mentoring,3/18/25 10:00,3/18/25 12:00,Local Library,100,3/11/25 10:00
24,5,Intro to Painting Class,9/29/22 10:00,9/29/22 12:00,Local Library,100,9/22/22 10:00
25,5,Intro to Painting Class,6/1/23 10:00,6/1/23 12:00,Local Library,100,5/25/23 10:00
26,8,Web Dev Bootcamp Night,10/10/25 10:00,10/10/25 12:00,Community Center Room A,100,10/3/25 10:00
27,6,Data Science Study Group,11/23/22 10:00,11/23/22 12:00,Local Library,100,11/16/22 10:00
28,6,Data Science Study Group,4/26/23 10:00,4/26/23 12:00,Virtual Zoom,100,4/19/23 10:00
29,3,Girls in STEAM Mentoring,9/12/23 10:00,9/12/23 12:00,Ella Rises HQ,100,9/5/23 10:00
30,2,Robotics Lab Saturday,5/3/25 10:00,5/3/25 12:00,Local Library,100,4/26/25 10:00
31,3,Girls in STEAM Mentoring,8/30/22 10:00,8/30/22 12:00,Local Library,100,8/23/22 10:00
32,9,Ella Rises Annual Leadership Conference,6/15/22 10:00,6/15/22 12:00,Community Center Room A,100,6/8/22 10:00
33,8,Web Dev Bootcamp Night,5/27/22 10:00,5/27/22 12:00,Ella Rises HQ,100,5/20/22 10:00
34,8,Web Dev Bootcamp Night,6/24/22 10:00,6/24/22 12:00,Ella Rises HQ,100,6/17/22 10:00
35,1,Mentor Office Hours,6/8/25 10:00,6/8/25 12:00,Community Center Room A,100,6/1/25 10:00
36,1,Mentor Office Hours,4/21/24 10:00,4/21/24 12:00,Local Library,100,4/14/24 10:00
37,3,Girls in STEAM Mentoring,6/11/24 10:00,6/11/24 12:00,Virtual Zoom,100,6/4/24 10:00
38,1,Mentor Office Hours,1/14/24 10:00,1/14/24 12:00,Ella Rises HQ,100,1/7/24 10:00
39,5,Intro to Painting Class,8/1/24 10:00,8/1/24 12:00,Virtual Zoom,100,7/25/24 10:00
40,2,Robotics Lab Saturday,3/11/23 10:00,3/11/23 12:00,Virtual Zoom,100,3/4/23 10:00
41,3,Girls in STEAM Mentoring,10/11/22 10:00,10/11/22 12:00,Community Center Room A,100,10/4/22 10:00
42,1,Mentor Office Hours,6/18/23 10:00,6/18/23 12:00,Art Studio 2,100,6/11/23 10:00
43,1,Mentor Office Hours,12/5/21 10:00,12/5/21 12:00,Community Center Room A,100,11/28/21 10:00
44,3,Girls in STEAM Mentoring,10/22/24 10:00,10/22/24 12:00,Art Studio 2,100,10/15/24 10:00
45,3,Girls in STEAM Mentoring,10/10/23 10:00,10/10/23 12:00,Ella Rises HQ,100,10/3/23 10:00
46,1,Mentor Office Hours,9/4/22 10:00,9/4/22 12:00,Virtual Zoom,100,8/28/22 10:00
47,1,Mentor Office Hours,3/9/25 10:00,3/9/25 12:00,Art Studio 2,100,3/2/25 10:00
48,2,Robotics Lab Saturday,4/15/23 10:00,4/15/23 12:00,Ella Rises HQ,100,4/8/23 10:00
49,1,Mentor Office Hours,10/22/23 10:00,10/22/23 12:00,Community Center Room A,100,10/15/23 10:00
50,1,Mentor Office Hours,5/7/23 10:00,5/7/23 12:00,Ella Rises HQ,100,4/30/23 10:00
51,3,Girls in STEAM Mentoring,5/16/23 10:00,5/16/23 12:00,Local Library,100,5/9/23 10:00
52,7,Leadership Circle Meetup,3/15/23 10:00,3/15/23 12:00,Local Library,100,3/8/23 10:00
53,8,Web Dev Bootcamp Night,12/27/24 10:00,12/27/24 12:00,Local Library,100,12/20/24 10:00
54,7,Leadership Circle Meetup,12/15/22 10:00,12/15/22 12:00,Ella Rises HQ,100,12/8/22 10:00
55,8,Web Dev Bootcamp Night,5/9/25 10:00,5/9/25 12:00,Virtual Zoom,100,5/2/25 10:00
56,3,Girls in STEAM Mentoring,5/13/25 10:00,5/13/25 12:00,Local Library,100,5/6/25 10:00
57,1,Mentor Office Hours,8/20/23 10:00,8/20/23 12:00,Art Studio 2,100,8/13/23 10:00
58,1,Mentor Office Hours,10/1/23 10:00,10/1/23 12:00,Local Library,100,9/24/23 10:00
59,5,Intro to Painting Class,9/4/25 10:00,9/4/25 12:00,Local Library,100,8/28/25 10:00
60,2,Robotics Lab Saturday,4/27/24 10:00,4/27/24 12:00,Ella Rises HQ,100,4/20/24 10:00
61,2,Robotics Lab Saturday,3/4/23 10:00,3/4/23 12:00,Local Library,100,2/25/23 10:00
62,3,Girls in STEAM Mentoring,8/6/24 10:00,8/6/24 12:00,Local Library,100,7/30/24 10:00
63,8,Web Dev Bootcamp Night,2/28/25 10:00,2/28/25 12:00,Community Center Room A,100,2/21/25 10:00
64,1,Mentor Office Hours,5/12/24 10:00,5/12/24 12:00,Community Center Room A,100,5/5/24 10:00
65,1,Mentor Office Hours,11/2/25 10:00,11/2/25 12:00,Community Center Room A,100,10/26/25 10:00
66,3,Girls in STEAM Mentoring,9/27/22 10:00,9/27/22 12:00,Art Studio 2,100,9/20/22 10:00
67,6,Data Science Study Group,9/24/25 10:00,9/24/25 12:00,Local Library,100,9/17/25 10:00
68,3,Girls in STEAM Mentoring,10/15/24 10:00,10/15/24 12:00,Ella Rises HQ,100,10/8/24 10:00
69,2,Robotics Lab Saturday,9/24/22 10:00,9/24/22 12:00,Local Library,100,9/17/22 10:00
70,1,Mentor Office Hours,11/14/21 10:00,11/14/21 12:00,Art Studio 2,100,11/7/21 10:00
71,6,Data Science Study Group,5/31/23 10:00,5/31/23 12:00,Ella Rises HQ,100,5/24/23 10:00
72,1,Mentor Office Hours,7/20/25 10:00,7/20/25 12:00,Community Center Room A,100,7/13/25 10:00
73,1,Mentor Office Hours,6/9/24 10:00,6/9/24 12:00,Local Library,100,6/2/24 10:00
74,2,Robotics Lab Saturday,12/4/21 10:00,12/4/21 12:00,Local Library,100,11/27/21 10:00
75,6,Data Science Study Group,8/13/25 10:00,8/13/25 12:00,Art Studio 2,100,8/6/25 10:00
76,8,Web Dev Bootcamp Night,3/24/23 10:00,3/24/23 12:00,Virtual Zoom,100,3/17/23 10:00
77,8,Web Dev Bootcamp Night,4/26/24 10:00,4/26/24 12:00,Community Center Room A,100,4/19/24 10:00
78,4,Monthly Coding Club,2/15/24 10:00,2/15/24 12:00,Ella Rises HQ,100,2/8/24 10:00
79,6,Data Science Study Group,8/30/23 10:00,8/30/23 12:00,Ella Rises HQ,100,8/23/23 10:00
80,1,Mentor Office Hours,8/31/25 10:00,8/31/25 12:00,Community Center Room A,100,8/24/25 10:00
81,6,Data Science Study Group,10/29/25 10:00,10/29/25 12:00,Local Library,100,10/22/25 10:00
82,8,Web Dev Bootcamp Night,2/14/25 10:00,2/14/25 12:00,Community Center Room A,100,2/7/25 10:00
83,6,Data Science Study Group,4/23/25 10:00,4/23/25 12:00,Virtual Zoom,100,4/16/25 10:00
84,6,Data Science Study Group,2/9/22 10:00,2/9/22 12:00,Community Center Room A,100,2/2/22 10:00
85,5,Intro to Painting Class,4/11/24 10:00,4/11/24 12:00,Community Center Room A,100,4/4/24 10:00
86,2,Robotics Lab Saturday,8/19/23 10:00,8/19/23 12:00,Virtual Zoom,100,8/12/23 10:00
87,1,Mentor Office Hours,9/29/24 10:00,9/29/24 12:00,Virtual Zoom,100,9/22/24 10:00
88,6,Data Science Study Group,4/10/24 10:00,4/10/24 12:00,Ella Rises HQ,100,4/3/24 10:00
89,1,Mentor Office Hours,3/12/23 10:00,3/12/23 12:00,Ella Rises HQ,100,3/5/23 10:00
90,3,Girls in STEAM Mentoring,2/20/24 10:00,2/20/24 12:00,Art Studio 2,100,2/13/24 10:00
91,3,Girls in STEAM Mentoring,2/18/25 10:00,2/18/25 12:00,Ella Rises HQ,100,2/11/25 10:00
92,1,Mentor Office Hours,10/12/25 10:00,10/12/25 12:00,Local Library,100,10/5/25 10:00
93,1,Mentor Office Hours,9/25/22 10:00,9/25/22 12:00,Local Library,100,9/18/22 10:00
94,1,Mentor Office Hours,12/18/22 10:00,12/18/22 12:00,Community Center Room A,100,12/11/22 10:00
95,10,Monthly Art Studio Workshop,7/15/22 10:00,7/15/22 12:00,Local Library,100,7/8/22 10:00
96,1,Mentor Office Hours,11/13/22 10:00,11/13/22 12:00,Ella Rises HQ,100,11/6/22 10:00
97,10,Monthly Art Studio Workshop,2/15/22 10:00,2/15/22 12:00,Virtual Zoom,100,2/8/22 10:00
98,5,Intro to Painting Class,6/12/25 10:00,6/12/25 12:00,Art Studio 2,100,6/5/25 10:00
99,5,Intro to Painting Class,6/29/23 10:00,6/29/23 12:00,Virtual Zoom,100,6/22/23 10:00
100,5,Intro to Painting Class,3/28/24 10:00,3/28/24 12:00,Community Center Room A,100,3/21/24 10:00
101,1,Mentor Office Hours,7/21/24 10:00,7/21/24 12:00,Community Center Room A,100,7/14/24 10:00
102,5,Intro to Painting Class,2/13/25 10:00,2/13/25 12:00,Art Studio 2,100,2/6/25 10:00
103,5,Intro to Painting Class,11/2/23 10:00,11/2/23 12:00,Community Center Room A,100,10/26/23 10:00
104,1,Mentor Office Hours,1/26/25 10:00,1/26/25 12:00,Art Studio 2,100,1/19/25 10:00
105,1,Mentor Office Hours,5/1/22 10:00,5/1/22 12:00,Community Center Room A,100,4/24/22 10:00
106,3,Girls in STEAM Mentoring,2/4/25 10:00,2/4/25 12:00,Ella Rises HQ,100,1/28/25 10:00
107,5,Intro to Painting Class,8/14/25 10:00,8/14/25 12:00,Community Center Room A,100,8/7/25 10:00
108,1,Mentor Office Hours,3/10/24 10:00,3/10/24 12:00,Art Studio 2,100,3/3/24 10:00
109,1,Mentor Office Hours,8/18/24 10:00,8/18/24 12:00,Art Studio 2,100,8/11/24 10:00
110,2,Robotics Lab Saturday,8/13/22 10:00,8/13/22 12:00,Ella Rises HQ,100,8/6/22 10:00
111,2,Robotics Lab Saturday,8/23/25 10:00,8/23/25 12:00,Local Library,100,8/16/25 10:00
112,3,Girls in STEAM Mentoring,11/1/22 10:00,11/1/22 12:00,Local Library,100,10/25/22 10:00
113,6,Data Science Study Group,10/12/22 10:00,10/12/22 12:00,Community Center Room A,100,10/5/22 10:00
114,3,Girls in STEAM Mentoring,8/5/25 10:00,8/5/25 12:00,Local Library,100,7/29/25 10:00
115,6,Data Science Study Group,3/16/22 10:00,3/16/22 12:00,Virtual Zoom,100,3/9/22 10:00
116,1,Mentor Office Hours,9/21/25 10:00,9/21/25 12:00,Local Library,100,9/14/25 10:00
117,1,Mentor Office Hours,2/27/22 10:00,2/27/22 12:00,Virtual Zoom,100,2/20/22 10:00
118,1,Mentor Office Hours,7/27/25 10:00,7/27/25 12:00,Community Center Room A,100,7/20/25 10:00
119,3,Girls in STEAM Mentoring,2/28/23 10:00,2/28/23 12:00,Local Library,100,2/21/23 10:00
120,5,Intro to Painting Class,9/28/23 10:00,9/28/23 12:00,Virtual Zoom,100,9/21/23 10:00
121,1,Mentor Office Hours,6/1/25 10:00,6/1/25 12:00,Art Studio 2,100,5/25/25 10:00
122,5,Intro to Painting Class,2/8/24 10:00,2/8/24 12:00,Local Library,100,2/1/24 10:00
123,8,Web Dev Bootcamp Night,12/3/21 10:00,12/3/21 12:00,Art Studio 2,100,11/26/21 10:00
124,6,Data Science Study Group,11/20/24 10:00,11/20/24 12:00,Local Library,100,11/13/24 10:00
125,2,Robotics Lab Saturday,4/19/25 10:00,4/19/25 12:00,Ella Rises HQ,100,4/12/25 10:00
126,6,Data Science Study Group,1/29/25 10:00,1/29/25 12:00,Ella Rises HQ,100,1/22/25 10:00
127,1,Mentor Office Hours,5/25/25 10:00,5/25/25 12:00,Art Studio 2,100,5/18/25 10:00
128,3,Girls in STEAM Mentoring,4/2/24 10:00,4/2/24 12:00,Ella Rises HQ,100,3/26/24 10:00
129,3,Girls in STEAM Mentoring,7/11/23 10:00,7/11/23 12:00,Local Library,100,7/4/23 10:00
130,1,Mentor Office Hours,6/15/25 10:00,6/15/25 12:00,Virtual Zoom,100,6/8/25 10:00
131,3,Girls in STEAM Mentoring,6/7/22 10:00,6/7/22 12:00,Art Studio 2,100,5/31/22 10:00
132,10,Monthly Art Studio Workshop,9/15/25 10:00,9/15/25 12:00,Ella Rises HQ,100,9/8/25 10:00
133,1,Mentor Office Hours,10/8/23 10:00,10/8/23 12:00,Community Center Room A,100,10/1/23 10:00
134,5,Intro to Painting Class,7/6/23 10:00,7/6/23 12:00,Local Library,100,6/29/23 10:00
135,1,Mentor Office Hours,8/21/22 10:00,8/21/22 12:00,Art Studio 2,100,8/14/22 10:00
136,1,Mentor Office Hours,9/14/25 10:00,9/14/25 12:00,Virtual Zoom,100,9/7/25 10:00
137,1,Mentor Office Hours,12/11/22 10:00,12/11/22 12:00,Ella Rises HQ,100,12/4/22 10:00
138,1,Mentor Office Hours,11/6/22 10:00,11/6/22 12:00,Local Library,100,10/30/22 10:00
139,1,Mentor Office Hours,10/15/23 10:00,10/15/23 12:00,Community Center Room A,100,10/8/23 10:00
140,2,Robotics Lab Saturday,7/13/24 10:00,7/13/24 12:00,Community Center Room A,100,7/6/24 10:00
141,2,Robotics Lab Saturday,10/28/23 10:00,10/28/23 12:00,Ella Rises HQ,100,10/21/23 10:00
142,3,Girls in STEAM Mentoring,8/29/23 10:00,8/29/23 12:00,Art Studio 2,100,8/22/23 10:00
143,7,Leadership Circle Meetup,12/15/21 10:00,12/15/21 12:00,Community Center Room A,100,12/8/21 10:00
144,6,Data Science Study Group,1/25/23 10:00,1/25/23 12:00,Local Library,100,1/18/23 10:00
145,9,Ella Rises Annual Leadership Conference,6/15/23 10:00,6/15/23 12:00,Community Center Room A,100,6/8/23 10:00
146,2,Robotics Lab Saturday,4/22/23 10:00,4/22/23 12:00,Virtual Zoom,100,4/15/23 10:00
147,2,Robotics Lab Saturday,1/4/25 10:00,1/4/25 12:00,Community Center Room A,100,12/28/24 10:00
148,8,Web Dev Bootcamp Night,3/25/22 10:00,3/25/22 12:00,Community Center Room A,100,3/18/22 10:00
149,4,Monthly Coding Club,4/15/24 10:00,4/15/24 12:00,Art Studio 2,100,4/8/24 10:00
150,3,Girls in STEAM Mentoring,10/28/25 10:00,10/28/25 12:00,Ella Rises HQ,100,10/21/25 10:00
151,6,Data Science Study Group,8/14/24 10:00,8/14/24 12:00,Virtual Zoom,100,8/7/24 10:00
152,8,Web Dev Bootcamp Night,5/13/22 10:00,5/13/22 12:00,Local Library,100,5/6/22 10:00
153,2,Robotics Lab Saturday,4/9/22 10:00,4/9/22 12:00,Community Center Room A,100,4/2/22 10:00
154,6,Data Science Study Group,12/1/21 10:00,12/1/21 12:00,Virtual Zoom,100,11/24/21 10:00
155,6,Data Science Study Group,2/5/25 10:00,2/5/25 12:00,Art Studio 2,100,1/29/25 10:00
156,1,Mentor Office Hours,3/16/25 10:00,3/16/25 12:00,Local Library,100,3/9/25 10:00
157,8,Web Dev Bootcamp Night,1/14/22 10:00,1/14/22 12:00,Virtual Zoom,100,1/7/22 10:00
158,6,Data Science Study Group,5/22/24 10:00,5/22/24 12:00,Art Studio 2,100,5/15/24 10:00
159,3,Girls in STEAM Mentoring,12/28/21 10:00,12/28/21 12:00,Art Studio 2,100,12/21/21 10:00
160,8,Web Dev Bootcamp Night,1/20/23 10:00,1/20/23 12:00,Art Studio 2,100,1/13/23 10:00
161,1,Mentor Office Hours,9/28/25 10:00,9/28/25 12:00,Ella Rises HQ,100,9/21/25 10:00
162,1,Mentor Office Hours,10/20/24 10:00,10/20/24 12:00,Local Library,100,10/13/24 10:00
163,5,Intro to Painting Class,8/21/25 10:00,8/21/25 12:00,Virtual Zoom,100,8/14/25 10:00
164,6,Data Science Study Group,10/5/22 10:00,10/5/22 12:00,Art Studio 2,100,9/28/22 10:00
165,3,Girls in STEAM Mentoring,5/24/22 10:00,5/24/22 12:00,Ella Rises HQ,100,5/17/22 10:00
166,3,Girls in STEAM Mentoring,4/18/23 10:00,4/18/23 12:00,Local Library,100,4/11/23 10:00
167,3,Girls in STEAM Mentoring,1/10/23 10:00,1/10/23 12:00,Ella Rises HQ,100,1/3/23 10:00
168,8,Web Dev Bootcamp Night,9/8/23 10:00,9/8/23 12:00,Art Studio 2,100,9/1/23 10:00
169,2,Robotics Lab Saturday,5/31/25 10:00,5/31/25 12:00,Art Studio 2,100,5/24/25 10:00
170,1,Mentor Office Hours,2/5/23 10:00,2/5/23 12:00,Community Center Room A,100,1/29/23 10:00
171,5,Intro to Painting Class,8/3/23 10:00,8/3/23 12:00,Art Studio 2,100,7/27/23 10:00
172,1,Mentor Office Hours,1/1/23 10:00,1/1/23 12:00,Virtual Zoom,100,12/25/22 10:00
173,1,Mentor Office Hours,10/30/22 10:00,10/30/22 12:00,Local Library,100,10/23/22 10:00
174,3,Girls in STEAM Mentoring,3/21/23 10:00,3/21/23 12:00,Ella Rises HQ,100,3/14/23 10:00
175,2,Robotics Lab Saturday,12/2/23 10:00,12/2/23 12:00,Art Studio 2,100,11/25/23 10:00
176,2,Robotics Lab Saturday,3/2/24 10:00,3/2/24 12:00,Virtual Zoom,100,2/24/24 10:00
177,2,Robotics Lab Saturday,9/27/25 10:00,9/27/25 12:00,Virtual Zoom,100,9/20/25 10:00
178,1,Mentor Office Hours,3/17/24 10:00,3/17/24 12:00,Local Library,100,3/10/24 10:00
179,1,Mentor Office Hours,6/30/24 10:00,6/30/24 12:00,Local Library,100,6/23/24 10:00
180,2,Robotics Lab Saturday,8/3/24 10:00,8/3/24 12:00,Virtual Zoom,100,7/27/24 10:00
181,3,Girls in STEAM Mentoring,11/15/22 10:00,11/15/22 12:00,Community Center Room A,100,11/8/22 10:00
182,8,Web Dev Bootcamp Night,12/15/23 10:00,12/15/23 12:00,Art Studio 2,100,12/8/23 10:00
183,5,Intro to Painting Class,10/12/23 10:00,10/12/23 12:00,Community Center Room A,100,10/5/23 10:00
184,6,Data Science Study Group,7/9/25 10:00,7/9/25 12:00,Local Library,100,7/2/25 10:00
185,6,Data Science Study Group,6/18/25 10:00,6/18/25 12:00,Virtual Zoom,100,6/11/25 10:00
186,1,Mentor Office Hours,6/19/22 10:00,6/19/22 12:00,Virtual Zoom,100,6/12/22 10:00
187,6,Data Science Study Group,10/4/23 10:00,10/4/23 12:00,Ella Rises HQ,100,9/27/23 10:00
188,5,Intro to Painting Class,7/7/22 10:00,7/7/22 12:00,Virtual Zoom,100,6/30/22 10:00
189,8,Web Dev Bootcamp Night,11/19/21 10:00,11/19/21 12:00,Community Center Room A,100,11/12/21 10:00
190,10,Monthly Art Studio Workshop,9/15/23 10:00,9/15/23 12:00,Art Studio 2,100,9/8/23 10:00
191,1,Mentor Office Hours,11/26/23 10:00,11/26/23 12:00,Art Studio 2,100,11/19/23 10:00
192,7,Leadership Circle Meetup,10/15/24 10:00,10/15/24 12:00,Ella Rises HQ,100,10/8/24 10:00
193,5,Intro to Painting Class,4/14/22 10:00,4/14/22 12:00,Art Studio 2,100,4/7/22 10:00
194,3,Girls in STEAM Mentoring,6/14/22 10:00,6/14/22 12:00,Virtual Zoom,100,6/7/22 10:00
195,8,Web Dev Bootcamp Night,4/28/23 10:00,4/28/23 12:00,Local Library,100,4/21/23 10:00
196,2,Robotics Lab Saturday,5/21/22 10:00,5/21/22 12:00,Local Library,100,5/14/22 10:00
197,8,Web Dev Bootcamp Night,7/4/25 10:00,7/4/25 12:00,Ella Rises HQ,100,6/27/25 10:00
198,3,Girls in STEAM Mentoring,11/30/21 10:00,11/30/21 12:00,Virtual Zoom,100,11/23/21 10:00
199,2,Robotics Lab Saturday,6/21/25 10:00,6/21/25 12:00,Art Studio 2,100,6/14/25 10:00
200,3,Girls in STEAM Mentoring,3/25/25 10:00,3/25/25 12:00,Ella Rises HQ,100,3/18/25 10:00
201,3,Girls in STEAM Mentoring,1/11/22 10:00,1/11/22 12:00,Art Studio 2,100,1/4/22 10:00
202,6,Data Science Study Group,5/25/22 10:00,5/25/22 12:00,Ella Rises HQ,100,5/18/22 10:00
203,6,Data Science Study Group,7/6/22 10:00,7/6/22 12:00,Local Library,100,6/29/22 10:00
204,2,Robotics Lab Saturday,6/1/24 10:00,6/1/24 12:00,Community Center Room A,100,5/25/24 10:00
205,2,Robotics Lab Saturday,5/11/24 10:00,5/11/24 12:00,Community Center Room A,100,5/4/24 10:00
206,5,Intro to Painting Class,3/16/23 10:00,3/16/23 12:00,Local Library,100,3/9/23 10:00
207,8,Web Dev Bootcamp Night,1/31/25 10:00,1/31/25 12:00,Ella Rises HQ,100,1/24/25 10:00
208,3,Girls in STEAM Mentoring,2/15/22 10:00,2/15/22 12:00,Ella Rises HQ,100,2/8/22 10:00
209,1,Mentor Office Hours,5/14/23 10:00,5/14/23 12:00,Ella Rises HQ,100,5/7/23 10:00
210,8,Web Dev Bootcamp Night,8/15/25 10:00,8/15/25 12:00,Ella Rises HQ,100,8/8/25 10:00
211,10,Monthly Art Studio Workshop,10/15/24 10:00,10/15/24 12:00,Art Studio 2,100,10/8/24 10:00
212,3,Girls in STEAM Mentoring,7/15/25 10:00,7/15/25 12:00,Virtual Zoom,100,7/8/25 10:00
213,2,Robotics Lab Saturday,1/25/25 10:00,1/25/25 12:00,Community Center Room A,100,1/18/25 10:00
214,6,Data Science Study Group,4/16/25 10:00,4/16/25 12:00,Virtual Zoom,100,4/9/25 10:00
215,3,Girls in STEAM Mentoring,12/12/23 10:00,12/12/23 12:00,Virtual Zoom,100,12/5/23 10:00
216,1,Mentor Office Hours,10/2/22 10:00,10/2/22 12:00,Virtual Zoom,100,9/25/22 10:00
217,5,Intro to Painting Class,8/29/24 10:00,8/29/24 12:00,Art Studio 2,100,8/22/24 10:00
218,1,Mentor Office Hours,6/25/23 10:00,6/25/23 12:00,Ella Rises HQ,100,6/18/23 10:00
219,10,Monthly Art Studio Workshop,12/15/22 10:00,12/15/22 12:00,Local Library,100,12/8/22 10:00
220,2,Robotics Lab Saturday,7/15/23 10:00,7/15/23 12:00,Local Library,100,7/8/23 10:00
221,1,Mentor Office Hours,9/1/24 10:00,9/1/24 12:00,Community Center Room A,100,8/25/24 10:00
222,2,Robotics Lab Saturday,5/14/22 10:00,5/14/22 12:00,Local Library,100,5/7/22 10:00
223,3,Girls in STEAM Mentoring,5/21/24 10:00,5/21/24 12:00,Local Library,100,5/14/24 10:00
224,5,Intro to Painting Class,11/10/22 10:00,11/10/22 12:00,Community Center Room A,100,11/3/22 10:00
225,2,Robotics Lab Saturday,3/5/22 10:00,3/5/22 12:00,Local Library,100,2/26/22 10:00
226,1,Mentor Office Hours,3/6/22 10:00,3/6/22 12:00,Community Center Room A,100,2/27/22 10:00
227,6,Data Science Study Group,10/11/23 10:00,10/11/23 12:00,Local Library,100,10/4/23 10:00
228,6,Data Science Study Group,7/16/25 10:00,7/16/25 12:00,Community Center Room A,100,7/9/25 10:00
229,2,Robotics Lab Saturday,9/3/22 10:00,9/3/22 12:00,Art Studio 2,100,8/27/22 10:00
230,10,Monthly Art Studio Workshop,7/15/24 10:00,7/15/24 12:00,Community Center Room A,100,7/8/24 10:00
231,3,Girls in STEAM Mentoring,9/24/24 10:00,9/24/24 12:00,Local Library,100,9/17/24 10:00
232,5,Intro to Painting Class,9/19/24 10:00,9/19/24 12:00,Ella Rises HQ,100,9/12/24 10:00
233,8,Web Dev Bootcamp Night,6/20/25 10:00,6/20/25 12:00,Art Studio 2,100,6/13/25 10:00
234,7,Leadership Circle Meetup,11/15/24 10:00,11/15/24 12:00,Art Studio 2,100,11/8/24 10:00
235,1,Mentor Office Hours,1/16/22 10:00,1/16/22 12:00,Local Library,100,1/9/22 10:00
236,3,Girls in STEAM Mentoring,6/4/24 10:00,6/4/24 12:00,Community Center Room A,100,5/28/24 10:00
237,3,Girls in STEAM Mentoring,1/24/23 10:00,1/24/23 12:00,Community Center Room A,100,1/17/23 10:00
238,8,Web Dev Bootcamp Night,6/10/22 10:00,6/10/22 12:00,Ella Rises HQ,100,6/3/22 10:00
239,6,Data Science Study Group,1/31/24 10:00,1/31/24 12:00,Art Studio 2,100,1/24/24 10:00
240,11,STEAM Summit & Expo,6/15/25 10:00,6/15/25 12:00,Community Center Room A,100,6/8/25 10:00
241,5,Intro to Painting Class,1/26/23 10:00,1/26/23 12:00,Ella Rises HQ,100,1/19/23 10:00
242,5,Intro to Painting Class,1/9/25 10:00,1/9/25 12:00,Art Studio 2,100,1/2/25 10:00
243,10,Monthly Art Studio Workshop,6/15/25 10:00,6/15/25 12:00,Virtual Zoom,100,6/8/25 10:00
244,4,Monthly Coding Club,4/15/25 10:00,4/15/25 12:00,Ella Rises HQ,100,4/8/25 10:00
245,3,Girls in STEAM Mentoring,8/12/25 10:00,8/12/25 12:00,Ella Rises HQ,100,8/5/25 10:00
246,7,Leadership Circle Meetup,6/15/25 10:00,6/15/25 12:00,Art Studio 2,100,6/8/25 10:00
247,2,Robotics Lab Saturday,8/31/24 10:00,8/31/24 12:00,Virtual Zoom,100,8/24/24 10:00
248,6,Data Science Study Group,9/13/23 10:00,9/13/23 12:00,Virtual Zoom,100,9/6/23 10:00
249,5,Intro to Painting Class,6/9/22 10:00,6/9/22 12:00,Ella Rises HQ,100,6/2/22 10:00
250,2,Robotics Lab Saturday,12/30/23 10:00,12/30/23 12:00,Virtual Zoom,100,12/23/23 10:00
251,6,Data Science Study Group,1/22/25 10:00,1/22/25 12:00,Local Library,100,1/15/25 10:00
